45,90,90,135,result
21,68,66,158,O_direction
-19,-1,9,91,O_direction
60,105,105,150,O_direction
60,84,92,137,O_direction
26,76,75,108,O_direction
29,72,75,128,O_direction
9,90,54,99,O_direction
17,105,173,91,O_direction
2,45,37,90,O_direction
60,89,90,150,O_direction
45,90,90,136,O_direction
20,61,63,104,O_direction
2,42,43,96,O_direction
14,91,175,150,O_direction
57,76,101,125,O_direction
24,22,24,-23,difference
64,91,81,44,difference
-15,-15,-15,-15,difference
-15,6,-2,-2,difference
19,14,15,27,difference
16,18,15,7,difference
36,0,36,36,difference
28,-15,-83,44,difference
43,45,53,45,difference
-15,1,0,-15,difference
0,0,0,-1,difference
25,29,27,31,difference
43,48,47,39,difference
31,-1,-85,-15,difference
-12,14,-11,10,difference
