45,75,105,135,45*,75*,105*,135*
108,103,73,42,118,101,67,51
16,40,73,102,15,33,70,108
16,39,72,99,19,51,74,113
27,59,88,125,33,66,95,121
44,61,81,116,28,55,89,123
24,50,70,109,18,53,79,102
44,42,82,134,20,45,76,108
80,65,115,146,39,69,119,140
18,35,56,98,NA,30,64,96
29,61,78,122,30,61,92,120
27,58,77,115,26,55,87,111
46,75,105,135,NA,39,66,101
38,62,NA,126,24,66,99,114
18,40,71,101,18,41,66,99
21,50,70,112,15,39,71,96
45,75,104,136,NA,74,52,136
35,67,98,128,34,63,92,122
25,54,82,115,24,53,80,110
26,49,77,109,22,51,76,103
NA,65,95,122,34,64,95,124
18,25,69,107,NA,44,71,81
19,52,82,103,16,45,74,103
45,75,104,135,45,63,104,72
15,44,67,93,NA,39,69,103
18,43,39,104,22,48,79,94
31,62,91,124,32,62,93,124
36,61,90,126,27,60,86,121
NA,25,60,91,NA,37,71,89
45,75,106,136,17,44,72,102
16,49,79,97,17,39,78,101
35,61,93,124,32,58,93,124
NA,29,69,100,NA,28,63,92
23,43,75,100,NA,40,79,95
