45,90,90,135,experiment
46,41,47,-2,continuous
0,0,0,-1,continuous
14,9,-13,-15,continuous
0,-6,-10,2,continuous
0,0,0,0,continuous
13,15,17,18,continuous
-18,-1,-21,-18,continuous
-16,28,-13,-15,continuous
45,-15,39,44,continuous
-2,14,-17,-12,continuous
33,-40,-37,31,continuous
-16,18,-25,20,continuous
1,-26,-92,180,continuous
-13,12,11,7,continuous
-11,-18,8,13,continuous
64,91,81,44,terminal
-15,-15,-15,-15,terminal
-15,6,-2,-2,terminal
19,14,15,27,terminal
16,18,15,7,terminal
36,0,36,36,terminal
28,-15,-83,44,terminal
43,45,53,45,terminal
-15,1,0,-15,terminal
0,0,0,-1,terminal
25,29,27,31,terminal
43,48,47,39,terminal
31,-1,-85,-15,terminal
-12,14,-11,10,terminal
45,44,32,45,cursorjump
-1,89,38,45,cursorjump
-17,19,16,24,cursorjump
-44,51,56,-44,cursorjump
-22,-26,-33,-19,cursorjump
0,-16,0,-18,cursorjump
-2,1,-2,-1,cursorjump
18,-15,0,32,cursorjump
-1,0,-23,14,cursorjump
45,91,45,44,cursorjump
45,48,41,44,cursorjump
-15,42,42,31,cursorjump
-16,11,16,32,cursorjump
24,30,30,36,cursorjump
45,89,36,44,cursorjump
