45,75,105,135,45*,75*,105*,135*
18,49,139,159,24,40,74,160
46,74,62,99,51,84,78,125
25,58,92,83,27,59,90,117
30,53,87,121,29,60,89,114
15,41,65,96,NA,43,69,98
45,57,94,90,38,45,89,NA
NA,25,34,104,NA,NA,74,89
15,35,70,99,NA,43,67,96
NA,57,89,112,19,56,86,116
NA,36,62,91,20,32,63,95
18,43,83,99,NA,45,65,111
44,52,NA,134,25,58,83,121
27,60,87,111,23,56,119,156
27,44,90,116,64,89,125,137
23,59,132,157,24,55,121,153
36,109,90,66,19,101,82,99
NA,35,60,96,NA,34,63,94
33,NA,122,127,29,63,81,109
30,49,75,114,16,51,70,99
NA,64,80,91,NA,42,63,96
30,55,89,125,25,58,88,124
18,49,80,108,20,52,80,106
NA,36,68,100,NA,NA,78,92
NA,33,79,93,19,58,88,118
37,50,87,54,22,70,94,128
32,51,91,115,34,59,90,120
27,46,78,114,23,51,83,112
39,74,96,129,38,65,96,127
36,68,101,142,38,68,100,129
40,65,118,128,41,61,89,128
NA,43,73,101,NA,39,72,95
15,39,73,104,22,46,61,100
27,40,90,120,23,59,76,99
15,50,84,99,NA,44,70,80
20,52,76,107,22,50,76,104
25,50,81,108,25,54,82,112
27,55,86,113,27,57,84,118
26,49,87,100,23,53,77,111
