45,90,90,135,result
0,46,58,90,O_direction
46,1,52,90,O_direction
62,71,74,111,O_direction
89,39,34,179,O_direction
67,116,123,154,O_direction
70,123,50,116,O_direction
45,106,90,153,O_direction
47,89,92,136,O_direction
27,105,90,103,O_direction
46,90,113,121,O_direction
0,-1,45,91,O_direction
7,179,180,180,O_direction
0,42,49,91,O_direction
60,48,48,104,O_direction
61,79,74,103,O_direction
21,60,60,99,O_direction
0,1,54,91,O_direction
45,44,32,45,difference
-1,89,38,45,difference
-17,19,16,24,difference
-44,51,56,-44,difference
-22,-26,-33,-19,difference
-25,-33,40,19,difference
0,-16,0,-18,difference
-2,1,-2,-1,difference
18,-15,0,32,difference
-1,0,-23,14,difference
45,91,45,44,difference
38,-89,-90,-45,difference
45,48,41,44,difference
-15,42,42,31,difference
-16,11,16,32,difference
24,30,30,36,difference
45,89,36,44,difference
