p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-20.7237434387207,-0.422037214040756,-3.89108656406734e-08,-19.6861553192139,-29.4413356781006,-14.0391683578491,-26.2810859680176,-22.3619060516357,-3.47138484357856e-06,-12.1039447784424,-10.0807733535767,-39.5345878601074,-2.72631120681763,-8.75874519348145
-21.2500286102295,-0.441900372505188,-3.89780296927711e-08,-20.125129699707,-29.9739952087402,-14.4360761642456,-26.8191909790039,-22.8470706939697,-3.4728659557004e-06,-12.378399848938,-10.3752965927124,-40.0294876098633,-2.84157037734985,-9.04630851745605
-21.759183883667,-0.461754232645035,-3.90315406662012e-08,-20.5454292297363,-30.4745025634766,-14.8198728561401,-27.3270702362061,-23.3080253601074,-3.47395939570561e-06,-12.6412515640259,-10.660774230957,-40.4795722961426,-2.95588684082031,-9.3261194229126
-22.2517776489258,-0.481598794460297,-3.90741696776331e-08,-20.947847366333,-30.9447975158691,-15.1909923553467,-27.8064498901367,-23.7459774017334,-3.47476657225343e-06,-12.8929967880249,-10.9374847412109,-40.8889007568359,-3.06927514076233,-9.59840393066406
-22.7283592224121,-0.501434028148651,-3.91081336204024e-08,-21.3331470489502,-31.3867073059082,-15.5498523712158,-28.2589473724365,-24.162073135376,-3.47536274603044e-06,-13.1341075897217,-11.2056970596313,-41.2611656188965,-3.18174839019775,-9.86337757110596
-23.1894550323486,-0.521260023117065,-3.91351910877802e-08,-21.702054977417,-31.8019428253174,-15.896858215332,-28.6860828399658,-24.5574054718018,-3.4758029414661e-06,-13.3650341033936,-11.4656715393066,-41.5997200012207,-3.29331851005554,-10.1212472915649
-23.635570526123,-0.541076719760895,-3.91567454016695e-08,-22.055269241333,-32.1921157836914,-16.2324028015137,-29.0892848968506,-24.9330101013184,-3.47612808582198e-06,-13.5862092971802,-11.7176628112793,-41.9076194763184,-3.40399670600891,-10.3722114562988
-24.067195892334,-0.560884118080139,-3.91739192195928e-08,-22.3934574127197,-32.5587387084961,-16.5568618774414,-29.4699020385742,-25.2898712158203,-3.47636819242325e-06,-13.7980451583862,-11.9619150161743,-42.1876373291016,-3.5137927532196,-10.6164608001709
-24.4848022460938,-0.580682218074799,-3.91876007199699e-08,-22.7172603607178,-32.9032325744629,-16.8706035614014,-29.8292026519775,-25.6289234161377,-3.4765455438901e-06,-14.0009365081787,-12.1986656188965,-42.4422988891602,-3.62271642684937,-10.8541784286499
-24.8888473510742,-0.600471079349518,-3.91985004455364e-08,-23.0272884368896,-33.2269325256348,-17.1739826202393,-30.168384552002,-25.951057434082,-3.47667651112715e-06,-14.1952610015869,-12.4281454086304,-42.673900604248,-3.73077654838562,-11.0855436325073
