p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-27.99426842,-22.37463379,-3.482348204,-6.375000477,-2.141226768,-2.351095676,-7.670785427,-3.699148893,-9.535574913,-15.74230099,-23.07642746,-36.03837204,-2.57E-05,-19.61791801,-30.4065609
-28.43571663,-22.82328224,-3.596581936,-6.552867413,-2.216571093,-2.439330101,-7.884783268,-3.835040092,-9.750743866,-16.05781174,-23.50245857,-36.52058029,-2.57E-05,-19.95122147,-30.69993019
-28.85254669,-23.25401306,-3.709145784,-6.726818085,-2.291254759,-2.527377605,-8.093623161,-3.970483065,-9.957334518,-16.36110687,-23.91796494,-36.97276306,-2.57E-05,-20.26784706,-30.96994591
-29.2461319,-23.6675396,-3.820064306,-6.896938324,-2.365283966,-2.61523962,-8.297430038,-4.105479717,-10.15568924,-16.65265846,-24.32322502,-37.39679337,-2.57E-05,-20.5686264,-31.21846581
-29.61776733,-24.0645504,-3.929361582,-7.063312531,-2.438664198,-2.702917576,-8.496325493,-4.240031719,-10.34613514,-16.93292236,-24.71850395,-37.79442215,-2.57E-05,-20.85435486,-31.44720078
-29.96867943,-24.44570541,-4.037061214,-7.226023197,-2.511401176,-2.790412188,-8.69042778,-4.374140263,-10.52898884,-17.20233536,-25.10405731,-38.16729355,-2.57E-05,-21.12578583,-31.65772629
-30.30002213,-24.81163788,-4.143186569,-7.385150909,-2.583500624,-2.877724409,-8.879852295,-4.507807255,-10.7045517,-17.46131706,-25.48013115,-38.5169487,-2.57E-05,-21.38363266,-31.85149193
-30.61288643,-25.16295624,-4.247760773,-7.540774822,-2.654968023,-2.964854956,-9.064711571,-4.641034603,-10.87311554,-17.71027184,-25.84696198,-38.84483337,-2.57E-05,-21.62857628,-32.02983093
-30.90830421,-25.50024223,-4.350806713,-7.692971706,-2.725808859,-3.051804543,-9.245116234,-4.773823261,-11.03495884,-17.94958878,-26.20477867,-39.15230179,-2.57E-05,-21.86126328,-32.19397354
-31.18724823,-25.82405853,-4.452346325,-7.841817379,-2.796028852,-3.138573647,-9.421173096,-4.906175137,-11.19034958,-18.17963982,-26.5538063,-39.44062424,-2.57E-05,-22.08230591,-32.34505081
-31.45063591,-26.1349411,-4.552401543,-7.98738575,-2.865633249,-3.225162745,-9.592987061,-5.038091183,-11.33954525,-18.40078354,-26.89426041,-39.71099854,-2.57E-05,-22.29228783,-32.48410034
-31.69933701,-26.43340683,-4.650994301,-8.129748344,-2.934627533,-3.311572313,-9.760660172,-5.169573307,-11.48279285,-18.61336517,-27.2263546,-39.96453857,-2.57E-05,-22.49176025,-32.61207962
-31.93416786,-26.71995354,-4.748146057,-8.268976212,-3.003016949,-3.397803068,-9.924291611,-5.30062294,-11.6203289,-18.8177166,-27.55029488,-40.20228958,-2.57E-05,-22.68125153,-32.72986984
-32.15590286,-26.99505615,-4.843877792,-8.405138016,-3.07080698,-3.483855247,-10.08397961,-5.431241035,-11.75238228,-19.01415634,-27.8662796,-40.42523956,-2.57E-05,-22.86126137,-32.83828354
-32.36527252,-27.25917053,-4.938210011,-8.538302422,-3.138002634,-3.569729328,-10.23981953,-5.561429501,-11.87917042,-19.20299149,-28.17450714,-40.63430786,-2.57E-05,-23.0322628,-32.93806839
-32.56296921,-27.51273727,-5.031163692,-8.668534279,-3.204609394,-3.655425549,-10.39190388,-5.691189766,-12.00090408,-19.38451576,-28.47516632,-40.8303566,-2.57E-05,-23.19470596,-33.02990723
-32.74964142,-27.75617599,-5.122758389,-8.795898438,-3.270632267,-3.740944386,-10.54032326,-5.820522785,-12.1177845,-19.55901146,-28.76844406,-41.01420212,-2.57E-05,-23.34902,-33.1144371
-32.92590332,-27.98989296,-5.213014603,-8.92045784,-3.33607626,-3.826286316,-10.68516541,-5.949430466,-12.23000431,-19.72675133,-29.05452156,-41.18659973,-2.57E-05,-23.4956131,-33.19223785
-33.09233475,-28.21427536,-5.301951408,-9.042274475,-3.400946617,-3.911451578,-10.82651711,-6.077913761,-12.33775043,-19.88799667,-29.3335743,-41.34826279,-2.57E-05,-23.63487053,-33.26384354
-33.24948502,-28.42969513,-5.389588356,-9.161409378,-3.465248346,-3.996440649,-10.96446228,-6.205974579,-12.44120121,-20.04299927,-29.60577583,-41.49985886,-2.57E-05,-23.76715851,-33.32975006
-33.39787292,-28.63651276,-5.475944042,-9.277920723,-3.528986454,-4.081254005,-11.09908295,-6.333613873,-12.54052734,-20.19199944,-29.87129593,-41.64201736,-2.57E-05,-23.89282608,-33.39040756
-33.53798676,-28.83506966,-5.56103754,-9.391866684,-3.592165947,-4.165892124,-11.23045921,-6.460833073,-12.63589287,-20.33523178,-30.13029671,-41.77532578,-2.57E-05,-24.01220512,-33.44623566
-33.67028427,-29.0256958,-5.644887447,-9.503303528,-3.654791594,-4.250354767,-11.35866928,-6.58763361,-12.72745705,-20.47291756,-30.38293839,-41.9003334,-2.57E-05,-24.12561035,-33.49761963
-33.79520416,-29.20870972,-5.727511883,-9.612286568,-3.716868162,-4.334642887,-11.48378944,-6.714016914,-12.81537056,-20.6052742,-30.62937737,-42.01755905,-2.57E-05,-24.23334122,-33.54491425
-33.91315842,-29.38441277,-5.80892849,-9.718869209,-3.77840066,-4.418756485,-11.60589409,-6.839984417,-12.89977932,-20.7325058,-30.86976624,-42.12748337,-2.57E-05,-24.33568001,-33.58844376
-34.02453613,-29.55309868,-5.889154911,-9.823104858,-3.839393854,-4.502696037,-11.72505569,-6.965537548,-12.98082256,-20.85481071,-31.10425377,-42.23056412,-2.57E-05,-24.43289757,-33.62850952
-34.12970352,-29.71504784,-5.96820879,-9.925045967,-3.899852276,-4.586462021,-11.84134579,-7.090677738,-13.05863476,-20.97238159,-31.33298492,-42.32722855,-2.57E-05,-24.52525139,-33.6653862
-34.22900391,-29.87052917,-6.046107292,-10.02474213,-3.959780693,-4.670054913,-11.95483303,-7.215405941,-13.13334465,-21.08539963,-31.55609894,-42.41787338,-2.57E-05,-24.6129837,-33.69932556
-34.32276917,-30.01980019,-6.122867107,-10.12224293,-4.019183636,-4.753474712,-12.06558609,-7.339724064,-13.20507622,-21.19404221,-31.77373695,-42.50287247,-2.57E-05,-24.6963253,-33.73056412
-34.41130447,-30.16311073,-6.198504925,-10.21759701,-4.078065872,-4.836721897,-12.17366982,-7.46363306,-13.27394772,-21.29847908,-31.98603058,-42.58258057,-2.57E-05,-24.77549553,-33.75931549
-34.49490356,-30.30069733,-6.273036957,-10.3108511,-4.136432171,-4.919796944,-12.2791481,-7.587134361,-13.34007359,-21.39887238,-32.19311142,-42.65732574,-2.57E-05,-24.85070419,-33.78577805
-34.57384109,-30.43278885,-6.346479416,-10.40205193,-4.194286823,-5.002700329,-12.38208485,-7.71022892,-13.40356255,-21.49537849,-32.39511108,-42.72741699,-2.57E-05,-24.92214966,-33.81013107
-34.64837646,-30.55960464,-6.418848515,-10.49124432,-4.251634598,-5.085432053,-12.48254108,-7.832918644,-13.46452045,-21.58814812,-32.59214783,-42.79314423,-2.57E-05,-24.99002075,-33.83254623
-34.71875381,-30.68135452,-6.490159988,-10.57847309,-4.308479309,-5.167992592,-12.58057594,-7.955204487,-13.5230484,-21.6773262,-32.78434753,-42.85477829,-2.57E-05,-25.05449486,-33.85317993
-34.78520584,-30.79824257,-6.560429096,-10.66378117,-4.364825726,-5.250382423,-12.67624855,-8.077088356,-13.57924271,-21.76305008,-32.97182846,-42.91257477,-2.57E-05,-25.11574173,-33.87216949
-34.8479538,-30.91046333,-6.629671097,-10.7472105,-4.420678139,-5.332602024,-12.76961517,-8.198571205,-13.63319683,-21.84545517,-33.15470886,-42.96677399,-2.57E-05,-25.17392349,-33.88964844
-34.90719986,-31.01820183,-6.697900772,-10.82880306,-4.476041317,-5.414651394,-12.86073208,-8.319654465,-13.68499947,-21.92467117,-33.33309937,-43.0175972,-2.57E-05,-25.22919464,-33.90573502
-34.9631424,-31.12163734,-6.765133381,-10.9085989,-4.530919075,-5.49653101,-12.94965267,-8.440339088,-13.73473644,-22.00082016,-33.5071106,-43.06525803,-2.57E-05,-25.28170013,-33.92053986
-35.01596832,-31.22094154,-6.831383228,-10.98663712,-4.585315704,-5.578241348,-13.03643036,-8.560626984,-13.78249073,-22.07402039,-33.67684937,-43.10995102,-2.57E-05,-25.3315773,-33.93416595
-35.06584549,-31.31627846,-6.896664619,-11.06295681,-4.639235497,-5.659782887,-13.12111664,-8.680519104,-13.82834148,-22.14438629,-33.84241867,-43.15185928,-2.57E-05,-25.37895966,-33.94670868
-35.11294174,-31.4078083,-6.960991859,-11.13759613,-4.692682743,-5.741155624,-13.20376205,-8.800016403,-13.87236404,-22.2120285,-34.00392532,-43.19115829,-2.57E-05,-25.42396927,-33.95825195
-35.15741348,-31.49568367,-7.024378777,-11.21059227,-4.745661259,-5.822360039,-13.28441525,-8.919120789,-13.91463184,-22.27705193,-34.16146469,-43.22801208,-2.57E-05,-25.46672821,-33.96887589
