p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-22.9045009613037,-6.05998706817627,-10.8225860595703,-6.17503213882446,-9.02328872680664,-5.58130311965942,-3.86561584472656,-6.662682056427,-14.0500926971436,-15.0298194885254,-9.94274806976318,-5.33297491073608,-2.26687288284302,-7.44807052612305,-3.3047206401825
-23.6843528747559,-6.39301681518555,-11.3678359985352,-6.52474737167358,-9.44666481018066,-5.9052791595459,-4.06940889358521,-7.02924823760986,-14.7165832519531,-15.6600751876831,-10.4791650772095,-5.65656566619873,-2.40782499313354,-7.90637063980103,-3.5048713684082
-24.4239387512207,-6.72002792358398,-11.8944072723389,-6.8672456741333,-9.84883403778076,-6.22429323196411,-4.26693439483643,-7.38823080062866,-15.357216835022,-16.2519359588623,-11.000207901001,-5.97625112533569,-2.54656434059143,-8.3579683303833,-3.70389580726624
-25.1253337860107,-7.04160070419312,-12.4029445648193,-7.20306444168091,-10.2308578491211,-6.53842687606812,-4.45839357376099,-7.73983240127563,-15.9730091094971,-16.8077411651611,-11.5063171386719,-6.29207849502563,-2.6831259727478,-8.80299949645996,-3.90182757377625
-25.7905139923096,-7.35822677612305,-12.8940677642822,-7.53268432617188,-10.5937452316284,-6.84775733947754,-4.64397859573364,-8.08423328399658,-16.5649280548096,-17.3296852111816,-11.9979209899902,-6.60409450531006,-2.81754374504089,-9.24158477783203,-4.09869003295898
-26.4213466644287,-7.67032241821289,-13.3683738708496,-7.85653400421143,-10.938455581665,-7.15235996246338,-4.82387208938599,-8.42159938812256,-17.1339015960693,-17.8198337554932,-12.475435256958,-6.91234493255615,-2.94985151290894,-9.67383480072021,-4.29449939727783
-27.0196075439453,-7.97824048995972,-13.8264389038086,-8.1749963760376,-11.2658987045288,-7.45230722427368,-4.99825096130371,-8.75208568572998,-17.6808223724365,-18.280122756958,-12.9392642974854,-7.21687507629395,-3.08008241653442,-10.0998516082764,-4.48926830291748
-27.5869770050049,-8.28228092193604,-14.26881980896,-8.4884147644043,-11.576940536499,-7.74767112731934,-5.16728496551514,-9.07583904266357,-18.2065448760986,-18.7123699188232,-13.389799118042,-7.51772975921631,-3.20826888084412,-10.5197343826294,-4.68300628662109
-28.1250495910645,-8.58269882202148,-14.6960544586182,-8.79709529876709,-11.8724012374878,-8.0385217666626,-5.331139087677,-9.39300155639648,-18.7118911743164,-19.1182842254639,-13.8274211883545,-7.81495380401611,-3.33444309234619,-10.933575630188,-4.8757209777832
-28.6353397369385,-8.87971210479736,-15.108660697937,-9.10131359100342,-12.1530628204346,-8.32492733001709,-5.48997211456299,-9.70370960235596,-19.1976509094238,-19.4994697570801,-14.2525014877319,-8.10859107971191,-3.45863652229309,-11.3414659500122,-5.06742000579834
-29.1192817687988,-9.17350578308105,-15.5071392059326,-9.4013147354126,-12.4196653366089,-8.60695743560791,-5.6439380645752,-10.0080966949463,-19.6645832061768,-19.8574352264404,-14.6653985977173,-8.39868450164795,-3.58088040351868,-11.7434940338135,-5.25810956954956
-29.5782356262207,-9.46424007415771,-15.8919744491577,-9.69732093811035,-12.6729135513306,-8.88467788696289,-5.79318618774414,-10.3062934875488,-20.1134185791016,-20.1935920715332,-15.0664615631104,-8.68527698516846,-3.70120549201965,-12.139744758606,-5.44779539108276
-30.0134906768799,-9.75205135345459,-16.2636318206787,-9.98952960968018,-12.9134759902954,-9.15815448760986,-5.93786096572876,-10.598424911499,-20.5448589324951,-20.5092697143555,-15.4560298919678,-8.96841049194336,-3.81964159011841,-12.5303030014038,-5.63648319244385
-30.4262714385986,-10.0370569229126,-16.6225643157959,-10.2781200408936,-13.1419887542725,-9.42745304107666,-6.07810306549072,-10.8846158981323,-20.9595775604248,-20.8057174682617,-15.8344326019287,-9.24812698364258,-3.93621850013733,-12.9152507781982,-5.82417869567871
-30.8177394866943,-10.3193588256836,-16.9692077636719,-10.5632514953613,-13.3590545654297,-9.69263648986816,-6.21404790878296,-11.1649875640869,-21.3582210540771,-21.0841045379639,-16.2019901275635,-9.52446746826172,-4.05096530914307,-13.2946691513062,-6.01088714599609
-31.1889934539795,-10.599045753479,-17.3039817810059,-10.8450698852539,-13.5652475357056,-9.95376777648926,-6.34582757949829,-11.4396572113037,-21.7414150238037,-21.3455333709717,-16.5590133666992,-9.79747295379639,-4.16391086578369,-13.6686382293701,-6.19661426544189
-31.5410785675049,-10.8761949539185,-17.6272945404053,-11.1237058639526,-13.7611122131348,-10.2109088897705,-6.47356939315796,-11.7087421417236,-22.1097564697266,-21.5910358428955,-16.9058036804199,-10.0671834945679,-4.27508354187012,-14.0372371673584,-6.3813648223877
-31.8749828338623,-11.1508741378784,-17.9395370483398,-11.3992767333984,-13.9471654891968,-10.4641208648682,-6.59739685058594,-11.9723558425903,-22.4638233184814,-21.8215827941895,-17.242654800415,-10.3336391448975,-4.38451099395752,-14.4005422592163,-6.56514406204224
-32.1916465759277,-11.4231424331665,-18.2410888671875,-11.6718893051147,-14.1238994598389,-10.7134637832642,-6.71743059158325,-12.2306089401245,-22.8041667938232,-22.0380840301514,-17.5698528289795,-10.5968790054321,-4.49222087860107,-14.7586297988892,-6.7479567527771
-32.4919586181641,-11.6930522918701,-18.5323143005371,-11.9416408538818,-14.2917804718018,-10.9589967727661,-6.83378648757935,-12.4836111068726,-23.1313190460205,-22.2413959503174,-17.8876724243164,-10.8569421768188,-4.59823989868164,-15.1115751266479,-6.92980861663818
-32.7767639160156,-11.9606513977051,-18.8135681152344,-12.2086200714111,-14.4512519836426,-11.2007780075073,-6.94657707214355,-12.7314691543579,-23.4457912445068,-22.4323215484619,-18.196382522583,-11.1138668060303,-4.70259428024292,-15.459451675415,-7.11070442199707
-33.0468635559082,-12.2259817123413,-19.0851936340332,-12.4729061126709,-14.6027355194092,-11.4388647079468,-7.05591154098511,-12.9742870330811,-23.7480754852295,-22.6116161346436,-18.496244430542,-11.3676910400391,-4.80531072616577,-15.8023319244385,-7.29064893722534
-33.3030166625977,-12.4890804290771,-19.3475189208984,-12.7345733642578,-14.7466316223145,-11.6733140945435,-7.16189622879028,-13.2121677398682,-24.0386447906494,-22.7799892425537,-18.7875137329102,-11.6184520721436,-4.90641498565674,-16.1402893066406,-7.46964740753174
-33.5459442138672,-12.7499828338623,-19.6008605957031,-12.9936876296997,-14.8833198547363,-11.9041805267334,-7.26463317871094,-13.4452114105225,-24.3179512023926,-22.9381046295166,-19.0704345703125,-11.8661861419678,-5.00593185424805,-16.4733924865723,-7.647705078125
-33.7763290405273,-13.0087213516235,-19.8455295562744,-13.2503108978271,-15.0131607055664,-12.131519317627,-7.36422252655029,-13.6735162734985,-24.5864334106445,-23.0865879058838,-19.3452472686768,-12.1109304428101,-5.10388660430908,-16.8017120361328,-7.82482671737671
-33.994815826416,-13.2653245925903,-20.0818214416504,-13.5044994354248,-15.1364974975586,-12.3553848266602,-7.46076059341431,-13.8971796035767,-24.8445091247559,-23.2260246276855,-19.6121826171875,-12.3527212142944,-5.20030355453491,-17.125316619873,-8.00101661682129
