rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17
practice,-19.8698806044553,6.17393722588444,4.03304645157561,7.86074082327414,12.9471437769607,15.7394027334137,-6.38391129734821,-1.36449636972467,-1.41476317322369,6.49052375875303,2.29525264532771,0.985738002736069,3.26950708940129,-6.17372345693536,10.0941018502568,1.71265143939213,16.0292605247858
practice,-9.2866708318641,-1.28431698686194,0.894181296561938,6.17788572344881,7.45267951027277,-3.5788940433896,25.1260151735892,7.62219415358518,-1.37934309039233,2.09400369221597,9.33241900110558,-0.648062139714775,2.00813245107006,10.43229833268,0.384549014529548,-0.346473215963463,11.9856334515733
practice,7.62219415358518,1.64548423420313,-3.45588608067961,9.02321390760767,7.32000131028706,5.31679957509598,10.3257550022784,-3.3362922646203,6.92898932018375,8.33733435516655,11.6887073695514,1.4147631732237,15.784076070019,3.47501844659515,4.64200964649807,1.70616305905762,1.87171858172072
practice,3.50296115720059,-0.210055708867762,4.74456564040475,4.99220541644893,-2.30991558926692,5.09598917487242,4.81578242747931,8.06340350039445,4.67657463087389,-0.00964718363701914,19.6538123914869,-1.68657304184378,7.66771967712459,3.73908651855716,-9.27154111161906,2.0431714601219,15.7394027334137
practice,3.48320578926269,5.96514837673538,0.883725934654758,2.57874362311245,-6.53835098991611,10.1473810904981,11.8700975872429,10.9773895019518,-2.50785304270318,-1.10770707669184,3.59515861974302,7.55610454026253,5.23680399867252,-2.79580203548356,9.17327026997079,0.148948293305342,9.14943660390174
practice,2.2660935162191,-7.64100553409228,4.77338113833981,3.83538122783668,4.06720863075041,1.92178163262673,7.75484375679042,0.648062139714784,6.78676350584905,-1.01471789181174,7.53800472921296,4.39727118791247,8.05520414886805,8.04365354410103,5.93757193662004,6.03686667880239,-1.22975187272211
practice,-0.228847377631618,-6.15856022970476,2.91946844402264,15.5667625531236,3.17210909490329,-0.127028755587904,8.87430693465478,2.49176591379377,4.91079350747577,5.3562164406132,5.11262331498422,1.52667663785872,8.58719437374634,6.90288196341902,-5.45171360126064,3.40662404512628,10.8371162966191
practice,-0.610174784003428,-3.18542392808076,-1.11746305044208,5.65380161661769,1.87210650978384,4.90121875318369,-1.28431698686194,-0.877566241573106,4.17561179704693,1.41170598539205,5.90964008012684,-3.21011946235696,1.37339104687315,11.4709167164641,-7.62219415358515,0.709095920735756,4.03066300101519
practice,6.3198668005533,-7.41459287278817,3.05915613220035,1.15650182063914,6.8532559465703,3.71123581748765,4.82646089162675,-5.5258579247965,0.677919314191333,4.64200964649807,4.35876097821296,-3.10764261353803,17.0071600047761,-18.516018328644,6.6437898560545,2.05159042048214,3.86528115613281
practice,-3.12599863274764,-2.87995623694902,-0.94769104174956,1.46207707951383,7.52739469350182,-3.77961654541204,2.62395248201811,6.10006944513702,-8.55139107241154,3.22786748453481,2.03476095362208,-0.810517685623828,4.94713000654955,2.26437505076857,-6.17393722588442,-4.14315195397891,1.89435278617071
