rot,p1,p2,p3,p4,p5,p6
practice,2.24022251894069,0.346474657635537,12.6058254298876,13.6898498087536,10.0597389901167,10.3767727577267
practice,9.42755698539155,5.69802623432228,9.0065370925382,6.54445021825284,172.648487357843,16.9352455959041
practice,-0.405689371096017,11.9632924603835,13.8711659076775,6.055887039695,7.44185355507195,0.428020289727593
practice,8.6245566037719,13.9405168889261,6.27599040036826,2.83271679048517,0.553578092758315,12.0747375740687
practice,-0.0506062536032158,14.3788384489858,5.51123145487082,8.34927928446278,-2.13376668713,-1.57206221041752
practice,-6.32195336454506,4.32010641404545,5.41625976884332,1.26356139983703,5.98611328000093,0.327079860006285
practice,20.6066897260518,5.49890570954581,5.0680960939296,7.28278555994653,3.82672663942704,5.08453611948931
practice,-5.70788775131554,10.9394122159602,8.52553744825702,0.134784530919049,-0.794616959924821,1.24084519927553
practice,10.6484178571101,5.73124175732281,12.6446736744739,-8.89357998556885,0.0219793285523897,-6.76821971215494
practice,-3.29908529700205,-1.04690799473466,6.34895575993645,1.23404745334914,-5.62928157072002,13.8550994264512
practice,-1.06573862950927,13.3902864289847,-1.00804599324686,1.72638288434457,2.0371143239894,1.93279165856987
practice,11.8010103932306,10.7893753869002,1.60760206056925,14.0599329546305,-1.32745427243578,5.49483813856594
practice,2.97518373777119,0.387277612987263,10.2007167970034,3.36941063271988,-0.868733274575636,16.9353292254182
practice,-3.07531672020139,4.30470081796468,5.62928157072003,2.80265347315867,4.28406716096493,12.3181319684388
practice,7.86772601667783,11.3609880235921,12.8282416441239,3.72912181821431,-2.81623088139618,-10.3655666380309
practice,2.08159543208595,12.6545142867986,4.09938423542177,5.75682574461945,-10.1988460535266,-1.0710872719431
baseline,-1.92798386584475,15.1737048114382,14.3090554885588,4.57350153560253,-1.16738717995548,-2.45145991137933
baseline,16.6512095774907,13.4438633872092,6.10074065402226,9.36501459871756,0.889415499707121,11.1193614403052
baseline,-6.16210306628658,-23.6141379793723,8.13454020218274,10.4147860416739,8.27794158463175,-1.32088107477825
baseline,6.99240058082134,14.7697893909152,5.85033946908674,5.16285587138058,3.07531672020141,5.57427878682899
baseline,4.19187844880128,-8.96479161264772,6.35381159770409,3.88054354597887,-3.0361554288917,-1.01396580200231
baseline,0.656011774536927,3.60346456150773,0.977734973215001,1.25937350159477,2.83981032308086,8.47020985705417
baseline,9.96072028288044,8.89357998556887,8.22160122062116,6.055887039695,2.55956477302179,15.7934027198613
baseline,5.0680960939296,5.47577756021809,9.45287256670134,7.28220346596079,1.34152736328089,-0.366532284815756
baseline,8.71197750654493,0.0393836259471354,9.4844465913673,0.447371542537728,11.6886392499071,-8.06045161801731
baseline,4.69749469687416,-23.4467797650261,-0.387528638473903,5.4040271230909,-0.781199232675206,4.74556161017285
baseline,8.65200876936167,10.5212317787103,-1.47529234289642,5.87103647671062,14.8718155115512,6.08659257796785
baseline,0.977734973215001,10.0245980135405,15.0840141619454,-0.467848002674674,-1.28580825725595,0.393406291957008
baseline,3.52756741569307,11.4948931812332,13.1258826450375,3.68254527595655,3.98810690281173,-4.38242542454804
baseline,0.113117478494953,7.98036455062898,2.78315477009959,7.70396807163275,4.881072286737,-4.17983822826926
baseline,2.53117230221337,0.969858543696064,15.6176765446363,13.8025175023616,8.17936377910864,0.538256214303347
baseline,4.81365493907144,-3.79902729756973,-2.60720039929623,2.89148940134351,4.14376548578985,-5.54712743329864
baseline,-0.580678115058429,10.3532266653851,6.76516926504858,1.34949896867856,-3.98211173026058,0.0813499398865414
baseline,4.89815249954305,1.44381258959548,4.11540530564639,1.75339612111086,2.21283609038858,-4.69749469687414
baseline,5.56546766786353,4.97540198645946,12.2222257102596,-0.689963044536029,11.7708731215927,6.19460629998782
baseline,4.81365493907144,2.22106910140724,7.43391673903436,5.5537460729694,2.99755149333779,15.0874431001375
rotation,-5.60926279883962,-6.89341153770368,1.32704249416213,-4.67142161990859,-2.83950217843365,3.53813214049231
rotation,-4.55338455828592,-9.01267855807484,-4.40929811597537,-1.16738717995548,-21.3251595942155,-14.1059939640977
rotation,-31.8405181598375,-3.9419054890129,0.380416159452388,-9.76522720066105,-14.8169460603037,-16.7025724260016
rotation,-6.75329369683257,-16.4731748402205,-18.1776406588344,0.591512174399587,-5.60411597863742,4.76785636996853
rotation,-14.0226791315337,-17.8736476168551,-7.28772467364187,-17.5143950267815,-18.1510723620574,-13.9289127280569
rotation,-2.85588023528899,-26.5405260720308,-5.73124175732279,1.69723796749867,-11.4757009643916,-12.3495374785077
rotation,-1.11026697601739,-25.8331293884568,-5.4996583034778,-23.346017732078,-11.122881438625,-14.5061353309182
rotation,-17.0640538010806,-151.605111906551,-10.8626763370949,0.380908578725092,-15.1938378035102,-10.3767727577267
rotation,-1.17317404787977,-19.3158219949622,-6.71895800738793,4.31880369158322,-16.1203858781856,-6.61852571916743
rotation,-10.5907018840246,-133.58785848651,-11.4806943246176,-10.934244306492,-25.0292148168084,-14.6745531138063
rotation,-23.8633769544207,-171.842034701217,-17.7347966594376,-11.1537300960596,-22.2406082879651,-18.7237409492654
rotation,-27.5199933405363,-28.3466921219915,-25.6827313199582,-2.05736061354673,-29.6084516873041,-14.1472635054638
rotation,-20.4392162887845,-16.2759033410078,-38.6461884022959,-28.3497755254165,-24.3434979965029,-11.6212768185465
rotation,-12.3851857568862,-145.24459940905,-18.044432010881,-7.32037540031348,-6.72380477382198,-2.26517267291108
rotation,-16.6137422155329,-65.188787948445,-7.63530429896375,8.21431307176071,-15.4437610359517,-31.252320804332
rotation,-22.4527617857774,-39.4990398512727,-35.3415091415717,-68.9039620173719,-7.42935357648565,-16.6731288931136
rotation,-21.4489940723763,-60.2342449598307,-29.889659279505,-29.1183317197041,-24.130251407832,-4.37024983923872
rotation,-31.4666892270507,-36.8621784205177,-34.6106977600808,-20.5588456327164,-34.006594830467,-11.44777260038
rotation,-5.16875940868618,-91.6722824168647,-13.7036644892828,-9.10522988360282,-4.06353563697313,-17.510533761661
rotation,-7.49999999999999,-116.435053778765,-30.3099481299222,-0.784935541128011,-17.0666188690197,-10.3532266653851
rotation,-21.60711013157,-35.3734151857505,-106.478650255514,-2.77978825729501,-15.837357310315,-25.2090368550806
rotation,-13.8095242271784,-132.84592755335,-23.8420836480526,-153.24602708904,-28.6300549438278,-17.0045848842712
rotation,-28.3027620325013,-22.191187366706,-8.64131834619197,-80.4634009074915,-30.6503606402235,-22.8054510532963
rotation,-32.6941364318539,-20.2679659962713,-38.6520087693617,-8.31996002349246,-41.4034592217149,-7.50775662464073
rotation,-28.3073493421487,-110.25421000981,-50.6760244164626,-7.44760548105867,-21.4741078204578,-13.206059511144
rotation,-11.4491703158512,-152.278025099433,-15.0272163405785,-63.3356944391352,-9.61603196116645,-22.0320168756298
rotation,-16.349672927226,-82.8616587667149,-75.9947889307496,-11.1900675259798,-20.1496577294903,-20.1624806618544
rotation,6.13669778604996,-50.0568250487242,-19.8327885326967,-25.595910881726,-18.6405104217602,-23.7825465871126
rotation,-11.4531748962653,-103.016369215552,-11.9260638961611,-22.6540680503126,-8.34927928446277,-18.7275692146277
rotation,-17.4454082371966,-162.179402260605,-41.403178941387,18.2712444803388,-30.1797754693401,-21.4491103055218
rotation,-23.6510442400635,-46.0935486728437,-21.4491103055218,-17.1066292797735,-18.291966288777,-16.8721423915279
rotation,-27.1569156599995,-37.9056481275063,-34.7724971701005,-30.3396189812982,-28.4141782049581,-22.5773023950325
rotation,-3.93453727607623,-25.1889529983167,-11.3155352924734,-10.3163327680208,-21.0583536352224,-20.7805552339421
rotation,-14.9836208563688,-143.112386100163,-49.548387609936,-8.28369628182411,-0.541420330160616,-24.0925989112565
rotation,-28.7408139727369,-18.7990272975697,-43.5310736789511,-14.2451475454534,-32.4117800723087,-18.1067501233394
rotation,-15.5757275807054,-17.4457761214541,-44.0992336066034,-30.8233559624529,-24.0727384202977,-27.9135882293127
rotation,-30.2204099066978,-61.7157019853166,-22.6644139272284,-24.3797466848136,-24.8045236626149,-33.9236656250026
rotation,-12.8842531814624,-113.389384142409,-7.49583272191377,-8.70107978617789,-8.99419475723591,-32.6439371217155
rotation,-28.3849224761252,-21.1921100258055,-44.5640783472429,-17.7168680710666,-15.4988158323745,-7.72705239741268
rotation,-21.9682909756337,-56.1716738052984,-23.1345402021827,-0.104112630120193,-12.942392882005,-21.7359035245772
rotation,-19.5447289989346,-133.468472233525,-21.9068965903945,-19.6714216199086,-22.9441239191904,-20.4780080525043
rotation,-29.7736156314031,-110.024925030231,-23.9416463647776,-44.9836208563688,-16.2438184057206,-17.7651578728432
rotation,-5.19378524368505,-63.4838217592282,-83.4542273292418,-24.4543387618405,-13.7467200379873,-26.1808944978989
rotation,-24.8003402264765,-51.2849487461989,-32.9363877268059,-8.41239208527301,-24.6619858460702,-17.3225901164188
rotation,-31.5730441547638,-120.965664547646,-18.808754714428,-12.6053864284849,-21.4980933202322,-20.7465365251739
rotation,-26.15893025854,-87.8149132919918,-60.9682120866802,-9.829390525633,-4.51645427270965,-27.8915608572686
rotation,-12.457223249999,-34.679397701871,-27.1355828044471,-34.4238351704423,-27.426916868712,-25.3645656793308
rotation,-19.6439848271676,-76.2692788508567,-26.607753807995,-18.2440397728557,-17.5632424598707,-13.8401106031724
rotation,-14.9903711076253,-72.4592791351618,-17.3106412682311,-23.964365665541,-4.87982967525292,-25.5667873436632
rotation,-24.0430952683583,-84.0058503423883,-22.1676632844075,-8.99895547498063,-1.44098426646958,-19.5950021066894
rotation,-23.2841465263264,-42.9135882293127,-29.9174551370616,-21.07814618898,-8.11421959637177,-17.5862155810999
rotation,-26.1135100229598,-38.1096686583279,-96.289761235739,-18.1311873366893,-21.1810003523467,-35.7631896922151
rotation,-26.0763343749973,-33.0325531004314,-64.2682889320206,-10.6648910868478,-11.1808944978989,-28.8984868617338
rotation,-30.0819557407934,-66.8314672328684,-29.0100066558715,-18.5034795090434,-16.1566950591954,-22.4093737611624
rotation,-26.15893025854,-76.5876437098552,-20.2912612196594,-15.7117558403385,-16.3041776225851,-12.1289432441738
rotation,-13.3189353137109,-101.298680885878,-7.3459319496874,-25.8535349574755,-11.4091837328199,-25.1852460837595
rotation,-8.32257720274342,-10.4650756829439,-41.031010433558,-38.0523620731357,-0.785161884263689,-30.5600862697766
rotation,-14.8668455259597,-24.0925989112565,-58.5068791607921,-33.4336309957592,-1.45947116529948,-33.5448677525307
rotation,-17.6877228167512,-15.9546737487155,-8.91506656887121,-26.1925286107049,-12.5815913234109,-30.3749836510982
rotation,-30.3332413175057,-48.6312331463461,-117.030021149994,-44.6882603099494,-21.4851642086824,-34.2682889320206
rotation,-30.0819557407934,-65.5634038709579,-107.552002912986,-20.4320246563971,-20.2341345794923,-24.6195565097302
rotation,-29.3936324922716,-18.5286273463357,-45.5797583608786,-21.3764047855185,-0.290653871853729,-37.571544155803
rotation,-19.1326645257091,-29.7777977158029,-25.713382087133,-18.5381321404923,-16.659034345254,-10.6136300048914
rotation,-16.4483543091195,-45.6130750853911,-43.3438745298937,-44.2542636193174,-15.6064937756813,-26.7799153984794
rotation,-33.9839626504332,-45.6759391744091,-63.3423231146207,-36.7325956105374,-22.3114467443338,-14.0055144997181
rotation,-25.2178971997005,-29.3587997160355,-23.412392085273,-21.7891645155243,-18.6580968095719,-23.0158949001647
rotation,-34.527987613276,-32.6718838080242,-15.3099481299222,-12.8960039357215,-10.8955800011083,-31.0911140189544
rotation,-26.1562731828817,-17.6129600855984,-39.8672974227188,-23.9815630153608,-7.37090238412909,-16.7513917681832
rotation,-28.3528501276251,-115.64841785711,-42.3022671824984,-28.6644133154079,-19.7735023240716,-23.4028634183996
rotation,-31.4550120048777,-64.8807753639344,8.1736285002464,-49.1427596319174,-10.5289948525922,-28.3862577844671
rotation,-18.5034795090434,-40.3163327680208,-25.1672114673033,-23.643768645911,-24.7892585609765,-6.10283123578678
rotation,-19.7557605198427,-16.8216416452355,-9.76055629233979,-26.0781349747318,-27.5829007256872,-22.966620177319
rotation,-30.134649082737,-23.4467797650261,-42.3715621254998,-30.8964731617233,-15.1041126301202,-22.590524078572
rotation,-29.4631314378625,-48.4189163871645,-6.54370153533574,-19.1078992614671,-5.76326034955958,-20.5112985582117
rotation,-29.9953385961876,-86.1024375903358,-25.5941634304331,-20.2661578446252,-17.3000438865026,-14.1156669155786
rotation,-28.9289127280569,-34.7185856066449,-47.961673740128,-52.9404117330252,-12.1085105986565,-26.0432617498559
rotation,-36.4412633042362,-36.2365825803966,-50.5588583477146,-24.9711316247433,-15.496599622773,-19.6467733346149
rotation,-26.0040218715904,-32.7026663791464,-39.8803837579843,-19.4256728401386,-10.2275028298995,-29.9765267977561
rotation,-17.2480184221793,-98.8312165448537,-13.6731389131069,-20.4872672223803,-24.10129811037,-11.8062286190519
rotation,-17.8327167904852,-27.2531133412795,12.5538530912102,-17.0475722667051,-17.0616449911164,-20.0694120445112
