rot,p1,p2,p3,p4,p5
practice,9.29553956173615,113.730637777375,2.14692867226881,14.7572467092416,-1.74063080743884
practice,4.57720992220617,-0.54933338578728,6.68003997650753,5.45058809860595,19.1979066686589
practice,3.9000523131473,2.913836258173,151.634837417068,7.99332247745998,-3.89316440756206
practice,5.98732144192516,3.32701552392049,17.4320178705249,8.8510014439472,-3.00488346456427
practice,0.165714668177073,-2.02291631436616,120.360166448792,4.0558034992798,-5.14817763612085
practice,-0.0729033101199881,12.0449720359581,-151.828873686467,22.2960319283673,3.15107236205745
practice,0.703238649538695,-3.23545287978109,-177.01711913787,4.84790621416871,3.82672663942704
practice,5.30467970137646,141.87686027109,131.831970279489,10.0471140713862,3.78603194233271
practice,-7.80545105329631,7.73570227503404,144.518587325054,8.84089483577788,3.14137095894883
practice,7.61627536537296,2.99261502253213,-169.545844313335,13.6584726367191,5.24347531350385
practice,11.8358738609847,4.73149245836892,-5.08149985107122,-5.05488954883424,-0.691061501928962
practice,4.11286228748493,3.23290495873855,-3.23411511534027,5.99683650926243,-6.44899407237626
practice,0.975511604695412,0.759873230308016,4.2051185664248,6.55465274641417,-5.52417066309591
practice,1.25441659859434,1.25032794392899,-7.28972238715228,1.47865025551391,-0.783999819108175
practice,18.3443904841606,5.25367310717336,1.16811154380133,4.53044457891801,3.72599756743023
practice,-14.0792147553938,7.37233779686563,2.61592551868043,5.50026203137804,-7.49999999999999
baseline,-8.31996002349246,-7.23889379658705,-7.28278555994651,15.8600752648879,-11.5496339405404
baseline,3.4688900300416,4.51036681561209,3.19810802615436,4.44401941168922,3.33569443913519
baseline,3.35722482483742,-2.08159543208595,3.29148711624642,6.9378618757385,-8.54750127309376
baseline,6.34940335238734,-2.36530903803414,6.68616783327695,5.03702938904028,-1.68887144233996
baseline,-4.14725578929623,8.04629841170988,-5.89477011639717,6.2363787219202,-7.63909072190825
baseline,1.68487248776274,-3.61177632266511,-5.59658256538071,5.94937329992828,1.0562900672943
baseline,-4.97078518319161,5.70938737722966,1.9992291622255,9.16497549294493,0.757569169967206
baseline,4.71268420049022,2.45010442880778,-4.84270470633687,6.07148518995632,-4.97817278638905
baseline,11.4788510566592,-4.04588091651375,6.23274494109817,5.14274628890657,1.90043147963437
baseline,12.9408883010524,3.63366282508577,2.49345725593253,6.71000957409443,4.45290908859481
baseline,3.31021381584272,-5.40740867126583,-5.76055106325118,5.02199389068155,4.4882908224049
baseline,10.8955800011083,-6.11055509231418,-8.29064161902875,6.77897620448565,-1.57249623014597
baseline,4.89854305173274,-2.24734387617317,6.65597009334071,12.220211742705,-1.24084519927553
baseline,8.44096832621521,9.65295161068488,-4.23059010869685,7.72705239741268,2.85210136384466
baseline,-0.291840056991952,-2.76590944164695,-8.75038696789643,13.6806401169627,1.84435078715224
baseline,1.23391761110399,2.49304570910908,-0.396005540520176,5.40854422364237,-1.54604717288824
baseline,-3.1792395101348,-2.14150801002647,2.34146794656733,8.40286341839961,2.08159543208595
baseline,1.00841549195251,6.17626310546289,0.341116553260687,-14.234683333004,10.2803753633593
baseline,11.8065296097664,-1.69723796749865,-5.09950146907069,3.81639423973387,0.202709931389
baseline,-8.34927928446277,1.07926275029287,-3.14501189684329,20.6532201624638,0.20623252580083
rotation,7.35991296592037,-6.75752787426483,-8.78507252709549,6.70776557171913,-18.1908179116664
rotation,-6.5294707508138,0.904689551032316,-8.85271152783574,-0.252634648530101,-9.12896352328937
rotation,3.38895791143391,-9.05876433489208,33.2590178600011,2.46711230766467,-27.2783289862094
rotation,-7.51104469137236,7.62484975702488,3.49918957777661,10.3733229584312,-26.0667928785489
rotation,12.8387045215747,-7.05607346545167,-6.46487205355728,3.03222194262064,-12.3282022312753
rotation,-5.01439572900143,-6.9711090409767,-72.107119289517,-11.4630646083293,-13.1325299460764
rotation,-0.915826331391204,-13.224494974752,-30.0618745673945,7.68862574493059,0.035869976769991
rotation,-13.9289127280569,13.0204447004548,-4.7474622772844,-9.83912234988383,0.104112630120208
rotation,-2.78502869939464,1.23404745334914,-0.0892299544227404,-5.75576044100495,5.75384415630374
rotation,-13.224494974752,1.78839010747931,-57.6081557914611,-5.70938737722966,-4.43321265633677
rotation,0.783450290919815,13.4689905349514,-19.6748241148822,13.0222639329904,-13.0233575331798
rotation,-12.7871785130001,10.247652488036,-18.3102138158427,-3.3435614866289,-18.4699657826909
rotation,0.359068474418238,6.57656932396546,7.280992657748,2.21933940667394,2.28258832220732
rotation,14.4384256919692,6.21886692462001,-8.91340742203215,-10.6874768829114,6.33043487350692
rotation,-11.4709643298365,-7.7177965340392,-6.52392132770079,-11.9727092207054,-4.37390453783244
rotation,-12.0464964802787,8.61020156261295,3.10218755144178,-10.8725934251283,-13.1602518281888
rotation,-2.22286522848023,1.38316868470355,-163.58785848651,-27.7917108064533,-4.90512709778893
rotation,10.3979865713888,12.3763007114312,-14.4617437856967,-0.555315769295701,-7.75643716352926
rotation,5.9733636149571,-4.54472899893455,-24.7910201560969,0.894006035902335,-7.00865781095789
rotation,-16.5516964004154,-0.37498365109819,-4.09807317584087,-11.9376901301782,7.20321658614256
rotation,-23.499245122354,8.94213815724765,-27.1409539228587,-28.5375641864763,-10.3875535720443
rotation,5.63197361866899,-13.043729571568,-60.393406291957,-5.25367310717334,8.03352810909496
rotation,8.39484882617106,5.57559502475657,16.1161261733107,-7.70609236160477,-9.62214550631766
rotation,-6.04731354612932,7.02628104001633,-13.9875889811412,3.50287640101237,-2.77518173790521
rotation,-9.89208246911006,18.9961761251491,12.086163741827,-28.0543081920591,-17.3262389618979
rotation,-6.75518733964693,-0.971574273773568,-40.0957223234282,-7.41656759557739,-11.3951191528116
rotation,-6.45249872690624,-5.20784599746059,-2.81648630269186,-12.7673860920042,8.22602820368967
rotation,-6.25652124673429,4.67871439190506,-52.3203754003135,-10.09042655561,-9.01267855807484
rotation,-5.25162460953061,4.46655179084961,-47.0058104419254,-1.9086267675758,3.57899974844252
rotation,-0.783450290919805,1.39612501323236,8.81796446321992,-18.6178144031291,-20.1477958106289
rotation,-11.2156334633558,20.3651938241969,-38.6510442400635,-23.8289984600081,13.8571561308844
rotation,-6.45164366070379,12.5797444907392,-23.9696038196678,-23.9134074220321,-13.6771352258711
rotation,3.70764608415216,3.6778984704935,3.8457326715629,-30.786047922808,-11.1148746548497
rotation,-8.28369628182411,15.5023348720173,-12.6723490830035,-28.0679998873226,18.9345249960476
rotation,-16.6620155830592,-20.4894830132545,-13.3579422385979,-23.8992593459777,-8.34601773207797
rotation,-4.69749469687414,7.90992795843862,-5.74782953374143,-13.7781983407416,6.54742752927309
