rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
practice,6.44171553216364,154.443811857539,18.6663943642263,10.4546020672588,3.47749318347376,-149.106270261818,10.2053358786912,1.74844517504188,-5.01318126357377,176.677639195943,-0.0658225506123774,2.92028794637576,4.80115153511106,-3.13435328994135,1.05417624307819,0.321044810134829,-1.14592238683029,-6.05567726768096,0.54365966255295,20.9864609638327,17.4552267885022,10.7038928965898,-4.80429115708813,2.69942406337332
practice,3.54577439752876,0.621977647854812,-2.61951142539498,6.91283901699637,34.8056057684962,3.54577439752876,-0.098013107888724,2.53738807086166,-2.26609351621909,11.8306859384871,2.49604399861136,2.01882403416488,6.0917427670439,8.29276183010935,-0.768718232555513,6.8532559465703,8.7754191732872,-2.14175546242839,-2.51539482176325,19.241579072185,0.128014090956892,-1.97803576829924,0.181062529996475,5.59320270252188
practice,6.0530662581508,18.1382271036638,9.6845910674079,5.62639106643047,10.3524398049792,-2.49604399861136,12.3437936255034,9.2581148267555,6.44579884045401,-3.54577439752876,11.6616917420891,-3.39923787562113,5.00814659632134,8.94931692472359,5.62446234909726,13.4952620217519,2.933326170076,-0.865373683858126,3.55784815999972,-0.937395410972523,6.33595152195229,-1.70187270245448,-4.44582921253746,1.52076966114376
practice,5.0734792820021,-8.3681499960585,0.723725893079722,-0.421432119762977,11.3856153341404,8.70279153961028,-1.04883548786999,-1.19810086776215,-5.88688547123811,-6.05306625815078,2.68192494953822,4.4429126422115,-2.93443440116928,5.64568010881914,2.2660935162191,2.98572461320647,-0.786142424193931,-7.55342785568012,17.4552267885022,-2.72270975069836,6.25880819865638,-13.5997927917936,-0.869471450856001,-2.04408526368049
practice,9.36127774160039,-2.26742761255031,21.0096739300585,-0.00625489315816489,26.591315179633,-2.19236018730661,177.867091168348,-3.62972698925813,9.77809989815467,-12.5017817216914,-8.66168283479502,-8.29276183010935,7.12642827708749,5.4719643503033,-4.68115070238425,-5.54349771207717,-7.35309392529522,-3.31963190410332,4.4123709089676,3.88030169943991,5.64068381167917,-9.25860496229323,0.803973963677667,-0.206789831415032
practice,8.41173960384687,-6.87352782920599,-4.98559124382686,9.98500967046171,-5.62984251864372,-1.23588096024683,11.8124944506739,-0.00467607040894571,19.6894148856537,-2.51539482176325,-3.73303075438142,2.68192494953822,-0.786142424193931,10.8641221079296,0.360657003590436,-0.394321557979367,-3.16748887846248,1.43082754037333,4.16535367369076,-4.42051713838227,9.78934778435209,-14.1119622784203,1.48172170934398,-5.9262549929678
practice,0.535444195310145,-4.65436259399089,3.2690461307509,9.94531592697598,-5.90178553252411,10.5575098418182,0.86905489237148,14.5608113234342,-8.10824915473251,6.38835476767934,4.66052333295075,-1.14125081358613,3.60782080251602,10.9040146933013,-5.59813495491623,7.77563466649373,0.844649230674649,-0.309368268973353,11.2691553865657,1.24741127451958,1.63315427939463,-2.9091278641279,5.55601787559629,-3.4395219383923
practice,0.224908568308967,-4.74790757422117,4.00187856260964,0.28787879688321,1.0118464868466,6.44579884045401,3.67027636052942,-4.9332490183868,-1.00086939584585,5.75223957946448,-2.54381436370735,7.7710894650825,-3.43595651870925,14.3577269885675,3.24412956250963,3.14439044754413,2.89555885372864,-0.229908496381184,1.62493024085166,-2.12550607220551,4.18891306659701,0.765366404585268,-12.2503772726335,-1.43811575994765
practice,-2.28304860216203,2.60242053089013,-4.81099261520765,2.730748167938,-7.68880246913313,4.28776639121156,1.69847721502679,5.86039019480765,4.15930160981009,10.9885900782485,-5.43669602799795,-0.298690174830174,4.11856499444331,4.30443067219629,-2.76724686150693,4.62871619526681,-3.35756671553792,-3.43021003745151,-1.72729351301405,-3.05838530896569,1.85693420046384,-5.13551256549821,-6.36152080269786,1.1821292800613
practice,3.06001471057928,-5.49404147855026,-8.47319480060854,-6.05946512428029,9.87495711863411,0.529424350084206,12.6765093961045,-9.06454719748771,7.59249671176056,-0.294294124741755,0.11210676520526,3.73549904956405,5.8868854712381,2.33019744867488,2.90153506785118,-1.32892800660831,-8.20472441242701,0.934597766360664,-6.91184241853366,0.195347919583023,7.37888644926892,1.89829529402676,7.82133191727176,5.57442927709344
