rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22
practice,-8.49195452060499,-16.0981822194921,13.7877206182585,-0.90694405981843,9.11636874255655,-9.01327949309488,-1.37997586923051,-6.36800989028067,1.94209528875861,-2.26609351621909,-2.68192494953822,-2.14175546242839,0.458053672231367,6.15856022970476,4.74790757422118,24.2490606887535,-5.55841602594713,-9.94531592697598,-9.48467326733017,6.84916683159095,-3.45274024280624,-0.098013107888724
practice,-0.950881027505913,-0.129581598185697,8.96482170896419,1.94842751903457,2.82821462637232,-16.341988991984,-0.929431825822103,-0.825835298473284,5.75543529580436,0.529424350084206,-1.01471789181174,12.1344283992408,2.38097945396253,-4.0940280054805,0.820710259637122,10.1748699599877,-5.33298043871815,13.8850736557193,-0.0644222298472039,3.85272192916586,-0.0528166433671163,-6.0507822301613
practice,-3.27113418283967,16.2611133523961,3.43021003745151,-2.385578836552,8.26693383231582,-13.824446462115,4.93529386650309,5.25876368460764,-1.00631164067926,5.31608528531569,0.0980131078887172,4.45402806689246,5.63165821364619,9.27675543573368,4.07152174227128,2.11393032482052,-7.31883677270871,-1.78045733046677,2.75534564319928,5.23680399867252,5.55841602594713,-2.43957395717285
practice,1.74942392616105,12.2962164740573,-0.288738524037586,-1.46435983158259,6.70582921077364,-3.39517343130995,2.59271652613997,5.81016736108519,-6.89013391461026,-1.3488526127868,4.47324331378747,-5.26679809316327,10.5608340237247,-6.78827358208119,2.84343763782557,5.68044052495607,3.62184615975856,-0.0327963674583769,-1.77892630249931,0.950624814142333,-4.52163968559034,14.1958799935286
practice,4.32852080225185,3.78328525996308,2.91479933070969,5.64568010881914,2.32777788497059,-6.64378985605449,-4.0940280054805,4.97213599464554,11.8044098691816,7.08891972115606,-1.5965248525682,-0.76614293235564,3.39517343130996,-6.40651793609942,7.35309392529523,1.52861425522154,-4.18279707161445,-4.36195632872081,0.309368268973362,3.73303075438142,-1.18243685877066,-3.03065869601793
practice,-6.25057179657098,-1.56140559875566,4.09402800548049,9.09035969584427,1.34885261278679,-7.85854259027022,-3.71171019662513,2.52597035575861,4.99929629437765,-4.90051585598893,2.75534564319928,-10.3075648026142,-7.43207994661264,-6.6775754049174,-1.01471789181174,3.95870062905367,2.84343763782557,-11.246997239794,-7.00336103328318,2.82280207027426,6.25646315110129,-5.72642510574252
practice,0.37804417454527,-0.16428022845331,-1.27028960101235,0.982999477668432,6.79027260477876,-7.57124419519417,9.84647694571932,-6.41482740691826,4.17989430834891,3.08384936108686,-0.510233547874466,-5.74765151269802,6.38535614565471,-0.547571748907024,1.56116445696432,8.57125044529221,5.85831608860887,12.7711673260849,-0.423521317709062,9.96586816044591,0.154620167722429,0.79410581517357
practice,7.92136383639306,3.22771631273203,1.94225083744288,0.934597766360664,1.36449636972468,-1.67925826852384,0.524462819928711,-3.43595651870925,6.64534560220024,7.04304242357093,-0.588075691351792,5.32302626407999,5.55601787559629,4.1060641024564,6.99033371367873,4.25215796594476,5.22394820400227,-2.65875197417129,-0.646025222345425,-5.70020737153548,3.43347886004638,10.1353004641005
practice,-1.41819099302965,-6.07451438449487,3.77836261231628,4.65436259399089,-1.84194772550037,-2.16995208813341,2.9833989087649,11.7293388523676,-3.39247320691978,6.44331996618422,2.19134120360945,10.129686776802,0.893094133923215,5.2273796471224,14.4864552178601,-3.71922866182367,-2.88155378579801,0.682727490394135,0.961054464011902,-4.84034467551052,-7.21376004109298,-2.59169324606644
practice,26.9335337993081,5.43836601523615,3.37937929090688,4.3539409586258,11.4986789686953,-5.61221693764882,6.21907599185018,-3.73951631201888,6.38682303777656,5.95880480632804,-1.64744686344347,-6.71938593020705,5.55841602594713,-9.36235161454186,2.98642770951386,7.41488119600742,7.06079003527357,6.86725145196929,-11.7839083726955,-5.01212666678595,4.17989430834891,-2.46247037184428
