rot,p1,p2,p3,p4,p5,p6,p7
practice,12.7694431336119,12.2202989444457,29.2633136504745,12.1935646585847,0.757569169967206,-116.129898504244,4.95488409183797
practice,7.50000000000001,0.309924867393333,17.6448419487348,8.28164446431519,3.96027776301,-154.517356547617,2.17241243078524
practice,11.6512925960059,17.1610360091436,-154.612530905709,16.2277484731857,7.90547958038901,9.0587643348921,-1.01941048496265
practice,14.5532366910037,3.51492306245576,17.2703944943828,24.6663113938313,9.85402463626134,9.96297061095972,2.03351297544648
practice,13.430384361218,9.91262365448376,24.9711316247433,-166.265574060899,10.2007167970034,3.51474389915918,96.7583373411786
practice,15.2510632426016,-0.63083580585097,3.60306047734527,12.1035867923876,2.76244335718548,13.7722515268143,-6.3939860222009
practice,6.57449660589015,23.4021622621022,22.1102655327832,28.3458805614808,4.11286228748493,6.70555922424461,-4.44281691353417
practice,-5.03045509933461,-3.19609825792555,7.84061595128218,11.8203966943168,-2.52619158390304,7.80881263329399,4.76785636996853
practice,2.23055686638809,-1.72073906381706,176.824081137137,12.523193451844,6.46213320972378,19.6748241148822,-2.76590944164695
practice,8.61344981260477,-3.22836511453209,9.55458078455556,14.0377753600662,11.0763343749974,6.65131827765294,1.83625679160178
practice,5.69801697392995,-4.87678474767264,-2.99148747935103,55.3156474786967,-4.21664570040497,4.08220213859844,1.28451612684423
practice,-7.46685186916044,1.35736537613209,-1.68106468628907,20.4639797256001,2.85904607714125,-6.54883645469225,-2.8995246350444
practice,-6.02586179643564,-22.5817483562353,1.55613661279084,12.6814940932068,8.62321632831177,2.09092886357265,6.71825463538064
practice,16.9177399855903,-4.08738921680744,16.0249282968855,14.3937119191101,2.42254357537413,2.08159543208595,-10.0056143076105
practice,-0.132902076272326,5.16248066185442,3.5044883743752,16.3551330668836,14.022265026785,-15.4072251601197,6.79843751021794
practice,2.05628990071253,3.6778984704935,10.1948425104115,11.1732513809958,-4.42383517044231,1.64205776140213,-8.93045924551199
baseline,4.2589425803787,-13.7154838731558,2.14158281500693,23.2183090295857,0.818581722568829,6.39799246113715,-3.13020995365137
baseline,4.07082938782118,7.40584307960938,10.3532266653851,25.1374608039058,1.01941048496266,0.204481572672653,-0.422486219936983
baseline,7.20290523701427,-2.54596021592059,-3.06958425608442,13.1875847063581,8.92145481702745,9.88436574048366,3.82520803102739
baseline,5.30467970137646,-5.1893056043999,9.36411817372689,15.364486128588,5.03927971711956,-4.54471977855749,13.091244039231
baseline,4.4342452386776,-4.92384268356865,-3.96672156017939,10.8331293884568,-10.8029912765906,3.36941063271988,1.00650207211974
baseline,9.04640294786131,6.6391921443641,0.370838698522103,-0.422929962064631,-70.8407945778749,2.0230620935632,3.28831130125688
baseline,0.919514403844,1.7505895565111,8.37797868164953,8.8119935226845,1.60734798357767,-3.33569443913518,6.06713812331422
baseline,-2.81054065469131,3.40043200772187,4.5447197785575,17.0426611092666,2.90981651029052,-3.67500222203092,-11.1148746548497
