rot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
practice,-1.09825323481045,-17.3764238103404,8.86154765178446,-1.0725569219243,-177.883796714833,-4.75499649911633,16.3201856419454,6.84916683159095,6.78583690759383,-170.15431034849,9.83857055522371,5.30540588081784,1.37934309039234,NA,17.5335788193746,3.21326239781879,-10.3989644874759,-3.02195955913276,4.91337793700884,-6.48487414897914,14.1861352098565,0.0686150519691998,NA,10.5135343011638,-1.46207707951382
practice,-1.83411891957223,7.45267951027277,-0.400055070505312,-5.10563777246296,3.89039720617727,1.08266316904885,167.148183372654,3.10196626522079,-7.19474881564445,-3.98511820315126,1.05417624307819,13.6589484770601,2.49536686487515,-2.26742761255031,-0.16428022845331,7.19681148976857,13.8850736557193,-5.97409118134143,-2.83091220295021,10.4786647941856,6.21813421415119,0.110508093864888,-152.889128789977,-2.76357890037157,-8.16793527889267
practice,5.36560346628319,4.58639842778468,0.829393362623468,2.65875197417129,3.6798414262276,3.93835064841483,11.2073180440079,-2.1433041068471,-15.6590856510119,-11.5072521239419,5.04358557325631,-3.97911899762898,-0.0307591307329646,3.47637710046718,1.41170598539205,5.7337798281369,-1.66744309692336,5.84072962235245,-1.29168424462434,-9.61739554899853,1.74844517504188,9.37653315497187,-5.82349285844425,7.71631889159039,7.82524376483967
practice,7.08891972115606,2.38646583948183,1.62152122579616,2.46730249677971,0.129581598185693,-8.22383575514968,-5.56945847087687,5.66463751010846,1.43223013916153,4.33859865577805,4.82139269322251,6.46918315478042,7.06381872777959,1.7789263024993,-4.51910478627177,1.67528320619519,0.682727490394135,-8.41173960384687,4.91126903274902,-9.16139440904206,4.69867967814882,4.76663242182222,-0.288738524037586,9.53023024354842,-1.2166090222775
practice,-2.85255606668686,2.99469338641322,2.59169324606643,3.85272192916586,4.52474791230163,3.2690461307509,-1.23356538173199,125.604055960932,1.06501255385555,5.85078382409769,-6.32394939510052,4.34621283967958,-2.44951920931619,0.298690174830183,1.92178163262673,0.052816643367125,2.73662604657893,-11.1373368902394,9.94531592697598,-13.8407613661814,3.60782080251602,5.49234849693279,0.303934642610203,0.303934642610203,7.65909356691905
practice,-10.7890079471894,4.52502163368305,-0.00467607040894571,-5.54349771207717,-2.05604109984475,-11.4727302772718,3.2366545200884,-3.77836261231627,11.6149687232136,4.60316625741285,8.85878285012051,11.394412111536,2.56760352673098,2.28304860216204,-3.07587445062318,6.84925655711835,-3.08155380478338,3.79586298727049,-3.08384936108687,-9.73869501690746,2.16464588108527,12.928133032116,3.81131091427257,-1.82335255314594,-0.447901206153776
practice,-1.89644087327208,13.5843610020444,8.14099691677164,1.47104074290255,0.868975913484535,-1.77622389732469,-5.08592852850549,-165.162844287971,-1.58586318939039,-4.28532323219745,-3.49602056594878,0.648062139714784,10.4118744157207,2.54890094546676,3.77836261231628,8.28209569288457,-6.20497048647739,0.0661781567147415,13.1066303431204,1.08266316904885,6.73760503578598,0.929431825822096,-2.11792316677455,-4.82811397425322,-5.83529809684576
practice,-0.187094576968969,1.82630466953766,2.48911606949981,2.61951142539499,7.88725819614633,-3.10196626522078,140.684063879795,147.41067828414,1.24412151734614,0.982999477668432,3.54475539247125,12.3145769612184,1.45677977980291,9.36644754952252,3.55695909338091,-5.08592852850549,4.69644638347483,8.56888971615524,4.11255506021544,1.80689133481333,3.79845225425586,-4.4679315942637,-4.0940280054805,-2.22585843884241,-0.812239696292871
practice,13.6470207861781,-0.098013107888724,1.34885261278679,9.45025110571933,12.0937530375321,-3.65559782217272,139.391857088021,142.502157367722,-4.72924759712739,4.93529386650309,-1.15650182063913,9.40131911286752,16.1490120866419,-3.4805811927874,2.38097945396253,3.07587445062318,78.1382271036638,1.92178163262673,-26.0711129414025,-7.82524376483968,2.8309122029502,8.27735110762992,-2.19546739198696,-0.349195318896071,-4.49710632440518
practice,-6.6602309650717,5.65146217634927,5.55031394160104,0.641478674568728,-0.94769104174956,-4.35391950241499,-7.82524376483968,169.762261284219,4.87246887321524,-35.3864870512888,-1.34004167426982,18.193988238455,18.2903483338586,13.5536966687498,0.786142424193924,0.054619411017224,28.4107087962502,-12.2936292644034,10.1628058899699,4.91079350747577,-4.45402806689245,-9.83928210449375,-11.6641822270384,-18.1916440951368,150.155883038233
