rot,p1,p2,p3,p4,p5,p6
practice,4.61844621420201,5.3582445375716,9.99600748622167,5.23390648378091,2.30387272900657,15.5634035003944
practice,9.50716000477611,1.80806240774921,7.04194632776864,7.46730545334505,-168.941874621045,15.4401541193504
practice,0.681597318617127,5.16861665658018,7.88557529311978,4.08330221949393,11.7015957195193,-2.68421757252069
practice,12.0935314631693,6.58175631173412,7.91679773619302,-0.482963547707916,-1.74332064676359,6.35452457337294
practice,-2.45203781340122,11.0875966594045,2.80132032185119,2.75690267374909,0.11315104873807,0.181161146912913
practice,-2.81545411304323,-0.280940122399213,5.45847585733624,-2.27085602011386,1.69569878971277,2.77067246305804
practice,18.3924991023647,4.08330221949393,1.32627654306464,12.4721359946456,1.12688223137679,0.167719677124593
practice,-26.7604139125144,6.71182715486547,13.2691450837701,3.79125551444853,2.74500350088368,0.40463895469802
practice,12.3577662971374,5.11855844228811,11.1663943642263,5.52838654819234,7.84998802863027,-11.6185649944433
practice,-0.760203544779146,2.29084899709704,4.80092960180298,7.61928972912321,-1.10258068220861,15.8511557338995
practice,-0.827392129750682,4.81807505046178,0.441745290537786,4.23522111886962,1.87361708932765,4.97402964424139
practice,5.27929750423432,5.93859440124433,-0.156437277373836,9.48843440067587,7.02763285377757,4.6643846807949
practice,4.36561871289265,-0.34421578414554,8.51185127777838,7.42722227103815,-2.03335367216393,10.8723445347258
practice,-2.19459411918215,0.0339267986774883,1.66740583394508,5.11102473260204,1.84619838338232,7.86677110498843
practice,7.05128337467773,1.55407225568031,7.27115262236838,4.17192620669984,-3.62573946727261,-4.38200342756685
practice,11.0369841329571,5.73991555761368,0.363527613593268,4.14308096772486,-1.52590881865857,7.7590006565291
baseline,3.35684804602109,5.69310866518667,14.1786800807167,2.25494684911155,1.55655943009815,-3.70731804400786
baseline,2.09279122734354,9.97622950798296,4.15699566807542,6.25138641341113,-3.71485355001363,3.217819544446
baseline,-2.73606791914534,-4.12062070909311,7.6253888226226,7.66428022845332,2.94003253805719,0.86898419888263
baseline,3.6373368902394,5.87506975914834,1.14710353578055,0.823376162128691,3.06251103791829,1.70258159731258
baseline,4.47645081105796,-10.8972147967056,4.7378787671908,4.01917729123452,3.28056349742972,-2.28033707885999
baseline,-5.58799786298177,3.06718425501144,-0.467790489122888,1.40266941705496,3.35752636118916,-5.04721912762583
baseline,-0.922252691190076,1.31943456665271,2.18487849675959,4.57244396448688,-2.4904698995242,12.6047749379314
baseline,0.606730651783883,-4.02362289953282,3.68596319388358,2.62408016796237,-1.8708832732482,-1.99323749286054
baseline,3.9040834439457,-1.7620804500461,4.26690252415219,0.385414486146231,2.4108995214616,2.65089791987863
baseline,2.07612537469097,-7.6679362724809,0.471278427664908,4.83206778130495,1.29681988982309,1.41529818093945
baseline,7.93777793322812,0.961052553607052,-5.95994166694597,2.1053619852069,11.3822987770171,-0.0534650443216877
baseline,4.36676368220363,2.77332291574907,9.7045608286357,3.26629568352269,-2.92103621924285,6.85397477765459
baseline,-0.697291946838974,4.94186361019874,15.4347559881526,1.1435623411076,4.76900219505732,-4.72679660106722
baseline,-1.56850871588282,3.75199770519263,3.77318970950416,8.25603075536266,-1.76500424941774,-5.47641619817871
baseline,4.73039488915664,1.24274570140138,8.09235349973816,11.3041273598038,6.47960882659653,0.953044491716423
baseline,5.26193499304127,0.432082240616861,-0.594232771044587,3.98834783000259,4.76121664345888,-5.65091705084874
baseline,-2.02341125541622,4.81807505046178,4.0524805522873,-3.05198245581586,-3.03206840573629,-0.894521125653218
baseline,0.297825617761315,4.21172191142978,1.29562489711644,0.175246068942811,-3.61221456501785,-8.79168424462433
baseline,1.61552624964285,5.01200262385146,11.9612238486014,-0.640996916771637,-0.443865208121676,-0.663753215448387
baseline,6.1235738335303,-1.56464816829979,5.06094085107901,2.57415381603067,-2.86329612806855,5.98675418356956
rotation,-0.494470080848568,-10.0589293945765,-2.7822738379215,-0.931225252132098,-4.8500355674025,-0.894438528452955
rotation,-5.45425015699012,-7.33424058922482,-9.85402463626132,0.357027201836971,-20.0120243337753,-13.6224120238347
rotation,-15.7369620910636,-5.32972060526739,-5.09200712976729,-10.4948899760866,-15.3482729697759,-11.6275974415904
rotation,7.1960653573898,-15.7575789333173,-15.2889705014681,0.332385874444785,-12.7248594311681,0.255255877281684
rotation,-12.5996715864405,-8.6357459896091,-10.0259703557586,-15.7117264179188,-20.7762516706857,-18.8962943775242
rotation,-4.17864350520033,-24.9239248566798,-9.71146153223158,0.949309475184352,-10.590382493153,-1.96102786953093
rotation,-1.34143977029523,-23.7028622577767,-12.9100803972562,-12.1074222424862,-13.0245207913041,-7.16551392598605
rotation,-14.4122236047349,-150.725979159032,-17.331105801991,-0.480854211856039,-17.690581714173,-9.78304860216203
rotation,-1.54748638414298,-23.942884375018,-10.2662230105155,-7.92352131770905,-14.1646376736046,-6.55254666046211
rotation,-17.0937575661309,-138.445260261281,-16.028630552674,-9.61761578384793,-23.5706712659109,-18.0998094512366
rotation,-22.6109517703359,-160.570210413901,-24.0314266185793,-5.32689875036837,-22.719560311057,-15.2792291991798
rotation,-20.5022850988483,-30.5687854589745,-20.7799859038699,-2.9191969727313,-18.0799896793515,-23.1562796681943
rotation,-23.5407753548478,-27.4992962943776,-44.7536803827657,-30.3829818839287,-19.6463624981966,-10.7112646971267
rotation,-10.6943717949946,-163.854576463362,-20.4768087690324,-2.26908602248093,-14.5903071915089,-7.25975384571158
rotation,-10.4793169054265,-74.729585907439,-3.98983043666483,-0.579492751274243,-16.8386620137025,-24.2645206645184
rotation,-27.7368039986725,-48.8308094508165,-42.3429494940868,-80.3582445375716,-8.63320913955916,-19.0999884187596
rotation,-24.2144166370876,-62.720544567277,-33.8707798184592,-33.7877144238395,-19.0949217894623,-8.84198899198402
rotation,-28.4300694160205,-38.2533637910582,-41.447774190717,-16.9686902171605,-32.2083853666333,-20.9807052001777
rotation,-3.26113185005898,-99.5690611715582,-17.5761214770957,-15.0851188039926,-11.0158554512817,-20.4896744648949
rotation,-10.840866505856,-125.625748088245,-22.8608579313641,-5.03312876330892,-20.4759486761814,-10.7278674845348
rotation,-14.2630379089364,-42.9506068333281,-114.955226788502,-8.29457213766451,-19.3299074294577,-21.775610395729
rotation,-17.870369024747,-153.090862472357,-24.8792475075512,-154.331129396305,-24.9054531222125,-18.8634280220778
rotation,-22.3335212663858,-22.6685309529782,-11.0305667579937,-83.5628185816751,-23.3510348872453,-15.4071627029584
rotation,-24.4680888372311,-31.4626766333471,-44.9252230789458,-13.0757174199734,-41.3402804216597,-13.6104344699902
rotation,-26.0704657514963,-136.159136588536,-55.258189788429,-13.442668972665,-23.0340026380594,-31.9053880144
rotation,-17.6260151735892,-149.45783409843,-19.5059792964351,-69.9420220756709,-11.405737930274,-23.9480994556335
rotation,-9.61627874290381,-92.9104835099823,-82.2489264709583,-13.0300070783519,-15.6505275749473,-20.1185584422881
rotation,3.07362555912948,-57.960222700818,-22.3789698278509,-33.6210098478647,-17.6148036426952,-19.7637735093069
rotation,-13.1825900782444,-111.087386586842,-15.8825288128256,-25.9771945513129,-9.56662278644864,-25.4498837169617
rotation,-18.7257960875857,-171.576893475773,-49.0250561458174,12.8331934279729,-30.4218436740608,-21.2288656667001
rotation,-17.1101978294337,-49.1442590684286,-21.8437203318056,-18.5859070871431,-20.9090393633239,-21.5176455030065
rotation,-18.0594583223991,-46.9272388086351,-42.7832913566839,-36.645238050563,-12.4720088681964,-24.4849763507078
rotation,-0.787970889299432,-27.8077295517591,-16.8332022739694,-6.01827829065602,-14.369586291837,-21.1714560191114
rotation,-7.27421094183238,-134.465672084697,-54.9620827312313,-14.9737390378131,-5.70322057177884,-13.3683474439241
rotation,-30.2651608911366,-24.1038270690237,-50.6035591267279,-19.940342794118,-26.3053400168453,-18.8543726402151
rotation,-20.4885921381345,-34.452653739895,-41.5497026469803,-30.5794927512743,-18.594262069726,-25.8575667155379
rotation,-29.3609716114059,-71.7317761707547,-21.8876598695531,-25.5729384855491,-23.7437856410029,-30.4975104674391
rotation,-5.71954266953322,-124.609378862194,-8.44897203421036,-12.5668344780898,-7.80936826897334,-29.1672523984464
rotation,-28.6887181440584,-26.5115237806607,-49.2029010908753,-15.8036030798071,-12.359144676415,-21.5131737446453
rotation,-15.6865122524521,-83.2663017165025,-21.200559504471,-4.25295451394655,-15.8546543977997,-18.9494485924482
