group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
continuous,nocursors,main,0.101900860503675,0.0761711661579665,0.0953518449970163,0.118890737426047,28.5854618665936,27.2030489768307,28.5590362208812,30.5503263265411
continuous,reaches,main,0.188127815031055,0.14609594650284,0.189310514583209,0.232833049764522,33.5798025676352,32.2471783872193,32.9245037890139,34.1727108089798
terminal,nocursors,main,0.100334795004803,0.0646956873449888,0.0813784708976918,0.13547175054858,15.9744728295659,14.6647470942446,15.8889590249116,19.3498460156706
terminal,reaches,main,0.306259849397295,0.234901242963049,0.282617287800431,0.352182289479766,37.6138799511229,35.7241396013876,37.8861766719939,39.7302901477265
cursorjump,nocursors,main,0.117997378701614,0.069598298649246,0.112502850936253,0.220319348377322,16.7566922034781,14.0878037554458,16.6035688513096,18.3714575240639
cursorjump,reaches,main,0.171862409167863,0.121996540404389,0.176002955605488,0.244163607788513,39.4343316891959,38.8719632310293,40.3642379231878,41.841014497118
