group,signal,avg,lwr,upr
continuous,nocursors,30,25,40
continuous,reaches,17,14,22
terminal,nocursors,25,19,39
terminal,reaches,10,8,13
cursorjump,nocursors,16,9,27
cursorjump,reaches,24,17,34
