Trials Removed
18
1
6
5
0
2
19
2
5
9
13
3
9
4
2
9
1
1
2
11
1
0
2
1
23
8
1
2
43
7
2
21
4
6
30
2
42
5
21
0
16
11
3
16
9
15
3
22
23
2
31
18
10
41
26
9
8
20
8
4
0
19
32
4
5
8
4
30
22
3
5
25
30
3
4
12
21
4
6
53
12
12
4
4
2
